image,incidence_angle_deg,h,k,l,qr_family_m,legacy_branch_index,observed_column_px,observed_row_px,sigma_px,legacy_placement_error_px,legacy_raw_x,legacy_raw_y,source_reflection_index,source_row_index,legacy_two_theta_deg,legacy_phi_deg
Bi2Se3_15d_5m.osc,12.0,-1,0,11,1,1,1101.324068806664,1041.0240249819988,1.0893680411849938,0.7900776728621245,1897.675931193336,1041.0240249819988,187,153,43.484068791986466,-38.731469688218226
Bi2Se3_15d_5m.osc,12.0,-1,0,13,1,0,1978.8569440813899,877.0676903537858,0.8133465584966834,0.3146944934669158,1020.1430559186101,877.0676903537858,202,27,48.203454168654744,31.031983622140103
Bi2Se3_15d_5m.osc,12.0,-1,0,13,1,1,1069.2421423639298,874.7562731654915,0.7598085242605812,0.12169220821006706,1929.7578576360702,874.7562731654915,202,182,49.06413735202027,-33.48942409491022
Bi2Se3_15d_5m.osc,12.0,-2,1,6,3,0,2307.045842961692,1311.7247331688397,1.3036391754319208,1.066290344944011,691.9541570383078,1311.7247331688397,280,61,47.27412156291875,69.51353219194232
Bi2Se3_15d_5m.osc,12.0,-2,1,6,3,1,734.4682171552313,1331.8081271712342,0.8418833419317432,0.3824494233518473,2264.5317828447687,1331.8081271712342,280,122,48.70303647532702,-71.9804407578643
Bi2Se3_15d_5m.osc,12.0,-2,0,5,4,1,513.8714411806704,1386.6421990471792,2.4726815140653637,2.3561947860906107,2485.1285588193296,1386.6421990471792,356,135,54.55289928260608,-78.54192318211406
Bi2Se3_15d_5m.osc,12.0,-2,0,5,4,0,2507.5277769768018,1361.0992944558675,2.5377272953521732,2.4243679228977304,491.472223023198,1361.0992944558675,356,13,52.8372031759031,76.27048068873358
Bi2Se3_15d_5m.osc,12.0,-1,0,16,1,0,2013.7987900330988,520.1261477118559,0.8308195528471635,0.3574368886854862,985.2012099669012,520.1261477118559,222,80,57.40492155514715,23.484287497281173
Bi2Se3_15d_5m.osc,12.0,-1,0,16,1,1,1016.8421766401475,508.758248426363,1.8754964638123248,1.7190075583814444,1982.1578233598525,508.758248426363,222,40,58.192701631845594,-25.96988597770573
Bi2Se3_15d_5m.osc,12.0,-2,0,10,4,1,292.1225231512226,944.5668001704519,0.7751375497593662,0.19580148377107337,2706.8774768487774,944.5668001704519,404,158,62.046582418647965,-62.556454858571655
Bi2Se3_15d_5m.osc,12.0,-2,0,10,4,0,2683.3340159730847,946.4095722593917,1.3843274325169297,1.163555946406925,315.6659840269155,946.4095722593917,404,13,60.19670964577575,60.26177769342743
Bi2Se3_15d_5m.osc,12.0,-2,1,15,3,0,2671.7854836106967,334.4247198544016,1.471109050047777,1.2655677923890418,327.21451638930324,334.4247198544016,302,49,66.07551905948364,41.73675830307229
Bi2Se3_15d_5m.osc,12.0,-2,1,15,3,1,276.49898950223314,283.36675607630053,3.3680980419942737,3.283532308427261,2722.501010497767,283.36675607630053,302,140,67.67386532496016,-44.053259363620356
